Top pages,Clicks,Impressions,CTR,Position
https://9takes.com/enneagram-corner/enneagram-and-mental-illness,517,9706,5.33%,7.56
https://9takes.com/enneagram-corner/toxic-traits-of-each-enneagram-type,182,4440,4.1%,8.09
https://9takes.com/enneagram-corner/astrology-and-the-enneagram,112,8234,1.36%,7.72
https://9takes.com/personality-analysis/Meghan-Markle,105,10333,1.02%,3.54
https://9takes.com/enneagram-corner/enneagram-instinctual-subtypes,99,8821,1.12%,14.84
https://9takes.com/enneagram-corner/biggest-compliments-to-give-each-enneagram-type,58,1976,2.94%,3.6
https://9takes.com/personality-analysis/Bob-Dylan,53,4035,1.31%,6.31
https://9takes.com/personality-analysis/Sam-Altman,47,5331,0.88%,4.9
https://9takes.com/enneagram-corner/enneagram-strengths-and-weaknesses,43,2843,1.51%,9.77
https://9takes.com/personality-analysis/IShowSpeed,37,22617,0.16%,3.44
https://9takes.com/personality-analysis/Tom-Hardy,36,2729,1.32%,4.58
https://9takes.com/enneagram-corner/toxic-traits-relationships-warning-signs,35,1254,2.79%,10.78
https://9takes.com/personality-analysis/Aubrey-Plaza,33,3816,0.86%,5.2
https://9takes.com/personality-analysis/Timothee-Chalamet,33,3517,0.94%,4.57
https://9takes.com/personality-analysis/Nicole-Kidman,33,3268,1.01%,5.04
https://9takes.com/enneagram-corner/enneagram-mental-health-flags,33,918,3.59%,7.54
https://9takes.com/personality-analysis/Agatha-Christie,30,1458,2.06%,6.99
https://9takes.com/personality-analysis/Zayn-Malik,29,3653,0.79%,4.13
https://9takes.com/enneagram-corner/enneagram-and-religion,29,1341,2.16%,15.2
https://9takes.com/personality-analysis/Jennifer-Lawrence,28,2502,1.12%,6.83
https://9takes.com/personality-analysis/Emma-Watson,27,8486,0.32%,4.95
https://9takes.com/personality-analysis/type/9,27,5004,0.54%,11.21
https://9takes.com/personality-analysis/Elon-Musk,26,7654,0.34%,5.48
https://9takes.com/enneagram-corner/enneagram-types-in-stress,26,3178,0.82%,11.94
https://9takes.com/personality-analysis/Prince-Harry,26,2028,1.28%,5.15
https://9takes.com/personality-analysis/Ryan-Gosling,25,4539,0.55%,4.29
https://9takes.com/enneagram-corner/enneagram-types-at-party,24,324,7.41%,13.3
https://9takes.com/personality-analysis/Jimmy-Fallon,23,3418,0.67%,3.25
https://9takes.com/personality-analysis/Kourtney-Kardashian,23,3005,0.77%,4.39
https://9takes.com/personality-analysis/Margot-Robbie,23,2943,0.78%,4.46
https://9takes.com/personality-analysis/Mr-Beast,22,4287,0.51%,6.16
https://9takes.com/personality-analysis/Keanu-Reeves,22,3877,0.57%,8.38
https://9takes.com/personality-analysis/Chappell-Roan,22,2266,0.97%,7.66
https://9takes.com/enneagram-corner/enneagram-types-on-a-first-date,22,399,5.51%,11.99
https://9takes.com/personality-analysis/Drake,21,4684,0.45%,4.66
https://9takes.com/personality-analysis/Kai-Cenat,21,2633,0.8%,4.9
https://9takes.com/enneagram-corner/enneagram-type-5,21,1897,1.11%,34.11
https://9takes.com/personality-analysis/Dua-Lipa,20,4753,0.42%,4.12
https://9takes.com/,20,972,2.06%,2.82
https://9takes.com/enneagram-corner/enneagram-addiction-recovery-guide,20,634,3.15%,9.75
https://9takes.com/personality-analysis/Mark-Zuckerberg,19,6703,0.28%,5.35
https://9takes.com/personality-analysis/Jenna-Ortega,19,5086,0.37%,8.29
https://9takes.com/personality-analysis/Brad-Pitt,19,2982,0.64%,8.3
https://9takes.com/personality-analysis/Sydney-Sweeney,18,4807,0.37%,7.72
https://9takes.com/personality-analysis/type/4,18,2958,0.61%,13.17
https://9takes.com/enneagram-corner/enneagram-type-8,18,1832,0.98%,45.15
https://9takes.com/enneagram-corner/how-to-apologize-like-a-pro,18,357,5.04%,6.27
https://9takes.com/personality-analysis/Sabrina-Carpenter,17,6668,0.25%,6.58
https://9takes.com/enneagram-corner/enneagram-test-comparison-2025,17,3816,0.45%,14.69
https://9takes.com/personality-analysis/Tina-Fey,17,865,1.97%,7.73
https://9takes.com/enneagram-corner/enneagram-communication-styles,17,729,2.33%,12.25
https://9takes.com/personality-analysis/Justin-Bieber,16,4165,0.38%,6.19
https://9takes.com/personality-analysis/Joaquin-Phoenix,16,3074,0.52%,4.74
https://9takes.com/enneagram-corner/enneagram-types-in-relationships,16,1537,1.04%,36.46
https://9takes.com/personality-analysis/Marilyn-Monroe,15,2861,0.52%,8.49
https://9takes.com/personality-analysis/Blake-Lively,15,2143,0.7%,3.86
https://9takes.com/personality-analysis/Tom-Hiddleston,15,2142,0.7%,5.13
https://9takes.com/personality-analysis/Winston-Churchill,15,2074,0.72%,4.79
https://9takes.com/personality-analysis/Robert-Pattinson,15,2046,0.73%,5.8
https://9takes.com/personality-analysis/Jackie-Kennedy,15,588,2.55%,4.74
https://9takes.com/enneagram-corner/depression-patterns-by-enneagram-type,15,343,4.37%,8.63
https://9takes.com/enneagram-corner/neurodiversity-vs-personality,14,377,3.71%,8.9
https://9takes.com/personality-analysis/Lana-Del-Rey,13,3907,0.33%,5.15
https://9takes.com/enneagram-corner/enneagram-types-and-career-choices,13,2521,0.52%,30.35
https://9takes.com/personality-analysis/Kylie-Jenner,13,2168,0.6%,8.18
https://9takes.com/personality-analysis/Madison-Beer,13,2160,0.6%,6.21
https://9takes.com/personality-analysis/Anya-Taylor-Joy,13,1814,0.72%,5.27
https://9takes.com/personality-analysis/Scarlett-Johansson,13,1658,0.78%,10.15
https://9takes.com/personality-analysis/Hugh-Jackman,13,1374,0.95%,5.52
https://9takes.com/personality-analysis/Peter-Thiel,13,1348,0.96%,7.39
https://9takes.com/personality-analysis/Halsey,13,1095,1.19%,7.1
https://9takes.com/enneagram-corner/enneagram-medication-mental-health,13,557,2.33%,3.07
