Date,Clicks,Impressions,CTR,Position
2025-12-01,43,3851,1.12%,8.2
2025-11-30,39,3507,1.11%,8.14
2025-11-29,41,3641,1.13%,7.46
2025-11-28,32,3248,0.99%,8.02
2025-11-27,20,3420,0.58%,9.06
2025-11-26,32,3451,0.93%,10.02
2025-11-25,45,3682,1.22%,8.75
2025-11-24,31,3887,0.8%,10.18
2025-11-23,19,3263,0.58%,7.9
2025-11-22,29,3192,0.91%,8.55
2025-11-21,13,3593,0.36%,8.32
2025-11-20,43,4158,1.03%,7.69
2025-11-19,27,4145,0.65%,7.51
2025-11-18,41,3957,1.04%,7.91
2025-11-17,29,4017,0.72%,7.91
2025-11-16,42,3573,1.18%,7.34
2025-11-15,26,3527,0.74%,7.64
2025-11-14,41,3674,1.12%,7.91
2025-11-13,48,4327,1.11%,8.24
2025-11-12,39,4170,0.94%,7.74
2025-11-11,35,3959,0.88%,7.31
2025-11-10,40,4064,0.98%,7.43
2025-11-09,30,3742,0.8%,7.55
2025-11-08,28,3930,0.71%,7.51
2025-11-07,32,4376,0.73%,6.93
2025-11-06,44,4436,0.99%,6.93
2025-11-05,35,4366,0.8%,7.56
2025-11-04,29,3689,0.79%,7.68
2025-11-03,36,4122,0.87%,8.26
2025-11-02,32,3630,0.88%,7.78
2025-11-01,27,3198,0.84%,8.38
2025-10-31,26,3511,0.74%,8.44
2025-10-30,35,4126,0.85%,8.39
2025-10-29,34,4288,0.79%,7.17
2025-10-28,33,4325,0.76%,7.57
2025-10-27,39,4136,0.94%,9.99
2025-10-26,32,3499,0.91%,8.9
2025-10-25,30,2922,1.03%,8.19
2025-10-24,37,3733,0.99%,8.26
2025-10-23,33,4275,0.77%,11.23
2025-10-22,29,3699,0.78%,11.12
2025-10-21,29,4057,0.71%,10.69
2025-10-20,31,3967,0.78%,10.27
2025-10-19,32,3981,0.8%,11.05
2025-10-18,38,3584,1.06%,10.07
2025-10-17,28,4266,0.66%,11.28
2025-10-16,29,4172,0.7%,8.8
2025-10-15,41,4331,0.95%,7.61
2025-10-14,30,4486,0.67%,8.53
2025-10-13,30,4152,0.72%,7.8
2025-10-12,24,3714,0.65%,8.21
2025-10-11,35,3479,1.01%,7.11
2025-10-10,44,3997,1.1%,7.76
2025-10-09,33,4439,0.74%,7.53
2025-10-08,31,4523,0.69%,7.1
2025-10-07,41,4823,0.85%,7.58
2025-10-06,46,4690,0.98%,7.2
2025-10-05,32,3860,0.83%,6.88
2025-10-04,45,3872,1.16%,8.37
2025-10-03,22,4660,0.47%,7.25
2025-10-02,47,5246,0.9%,7.44
2025-10-01,45,5819,0.77%,7.35
2025-09-30,48,5532,0.87%,7.14
2025-09-29,43,5562,0.77%,7.07
2025-09-28,28,4180,0.67%,7.8
2025-09-27,39,4120,0.95%,8.14
2025-09-26,28,5035,0.56%,7.08
2025-09-25,37,5569,0.66%,7.66
2025-09-24,32,5498,0.58%,7.49
2025-09-23,30,5800,0.52%,8.61
2025-09-22,32,5721,0.56%,8.21
2025-09-21,41,4702,0.87%,8.73
2025-09-20,39,4251,0.92%,8.91
2025-09-19,40,5781,0.69%,9.23
2025-09-18,35,6310,0.55%,9.21
2025-09-17,35,6242,0.56%,7.84
2025-09-16,35,6239,0.56%,8.19
2025-09-15,32,5883,0.54%,8.17
2025-09-14,40,5026,0.8%,8.29
2025-09-13,37,4205,0.88%,9.23
2025-09-12,48,5172,0.93%,9.35
2025-09-11,46,6043,0.76%,11.43
2025-09-10,43,6630,0.65%,12.91
2025-09-09,54,7383,0.73%,14.2
2025-09-08,47,7296,0.64%,14.21
2025-09-07,50,6398,0.78%,14.43
2025-09-06,36,5977,0.6%,19.18
2025-09-05,45,6796,0.66%,14.81
2025-09-04,56,7878,0.71%,14.58
2025-09-03,43,6747,0.64%,15.61
2025-09-02,40,7167,0.56%,16.17
