1	create	0	772s
2	fresh_eyes	0	160s
3	second_pass	0	580s
4	cohesion	0	170s
4.1	perspective_snapshot	0	0s
4.2	perspective_evidence	0	611s
4.3	perspective_packet_gate	0	0s
4.4	perspective_subject	1	478s
4.4	perspective_fan	1	478s
4.4	perspective_critic	1	539s
4.4	perspective_unfamiliar	1	539s
4.4	perspective_enneagram	1	539s
4.4	perspective_future	1	539s
4.5	perspective_reviews_gate	1	0s
5	editor_pass	1	4s
6	enrich_frontmatter	1	3s
6.5	lint	0	0s
6.6	quality_report	0	0s
6.7	source_audit	0	0s
6.8	same_type_similarity	0	1s
7	grade	1	3s
