0.5	entity_gap_brief	0	240s
1	create	0	1562s
2	fresh_eyes	0	141s
3	second_pass	0	554s
4	cohesion	0	240s
4.1	perspective_snapshot	0	1s
4.2	perspective_evidence	0	738s
4.3	perspective_packet_gate	0	1s
4.4	perspective_subject	0	382s
4.4	perspective_fan	0	382s
4.4	perspective_critic	0	453s
4.4	perspective_unfamiliar	0	529s
4.4	perspective_enneagram	0	529s
4.4	perspective_future	0	529s
4.5	perspective_reviews_gate	1	0s
5	editor_pass	0	215s
6	enrich_frontmatter	0	338s
6.5	lint	0	0s
6.6	quality_report	0	0s
6.7	source_audit	0	0s
6.8	same_type_similarity	0	1s
7	grade	0	228s
8	revise	1	213s
8.5	lint	0	1s
9	post_revision_grade	1	4s
9.5	quality_report_after_revision	0	0s
9.6	source_audit_after_revision	0	0s
9.7	same_type_similarity_after_revision	0	0s
