page,clicks,impressions,ctr_pct,position
https://9takes.com/enneagram-corner/enneagram-and-mental-illness,101,4283,2.36,8.3
https://9takes.com/enneagram-corner/enneagram-and-adhd-which-types-struggle-most,73,1602,4.56,5.5
https://9takes.com/enneagram-corner/depression-patterns-by-enneagram-type,32,1544,2.07,9.4
https://9takes.com/enneagram-corner/mental-health/enneagram-neurodivergence-guide,32,1755,1.82,7.1
https://9takes.com/enneagram-corner/enneagram-compatibility-matrix,29,3799,0.76,11.5
https://9takes.com/,24,115,20.87,6.4
https://9takes.com/personality-analysis/jordi-hays,24,942,2.55,8.5
https://9takes.com/enneagram-corner/attachment-styles-and-enneagram-types,22,2680,0.82,7.4
https://9takes.com/enneagram-corner/astrology-and-the-enneagram,21,3236,0.65,8.5
https://9takes.com/enneagram-corner/biggest-compliments-to-give-each-enneagram-type,17,336,5.06,6.2
https://9takes.com/enneagram-corner/mental-health/enneagram-addiction-recovery-guide,17,1112,1.53,8.3
https://9takes.com/enneagram-corner/toxic-traits-of-each-enneagram-type,12,961,1.25,10.8
https://9takes.com/pop-culture/kardashian-family-enneagram-analysis,12,809,1.48,9.7
https://9takes.com/enneagram-corner/enneagram-types-and-career-choices,10,1178,0.85,20.9
https://9takes.com/personality-analysis/tina-fey,9,476,1.89,8.2
https://9takes.com/enneagram-corner/toxic-traits-relationships-warning-signs,8,819,0.98,9.4
https://9takes.com/personality-analysis/kara-swisher,8,1246,0.64,9.6
https://9takes.com/enneagram-corner/enneagram-instinctual-subtypes,7,2806,0.25,14.5
https://9takes.com/personality-analysis/bob-dylan,7,663,1.06,7.7
https://9takes.com/personality-analysis/marilyn-monroe,7,618,1.13,12.0
https://9takes.com/personality-analysis/ryan-gosling,7,1151,0.61,8.4
https://9takes.com/enneagram-corner/enneagram-test-comparison-2025,6,2766,0.22,14.4
https://9takes.com/enneagram-corner/how-each-enneagram-type-manipulates,6,726,0.83,7.9
https://9takes.com/personality-analysis/ishowspeed,6,2960,0.20,7.6
https://9takes.com/personality-analysis/type/9,6,1285,0.47,52.6
https://9takes.com/enneagram-corner/enneagram-strengths-and-weaknesses,5,544,0.92,10.5
https://9takes.com/enneagram-corner/enneagram-type-7,5,235,2.13,15.8
https://9takes.com/enneagram-corner/enneagram-types-in-stress,5,1028,0.49,12.2
https://9takes.com/enneagram-corner/enneagram-wings-complete-guide,5,3080,0.16,14.9
https://9takes.com/enneagram-corner/how-each-enneagram-type-self-sabotages-success,5,283,1.77,7.8
https://9takes.com/personality-analysis/clavicular,5,622,0.80,9.7
https://9takes.com/personality-analysis/emma-myers,5,192,2.60,5.1
https://9takes.com/personality-analysis/sabrina-carpenter,5,2623,0.19,5.9
https://9takes.com/personality-analysis/sky-bri,5,377,1.33,7.9
https://9takes.com/personality-analysis/timothee-chalamet,5,1159,0.43,8.3
https://9takes.com/personality-analysis/zendaya,5,1150,0.43,9.5
